entidad,distrito_cod,tiene_ine,p_0a17,p_18ymas,hombres_18+,mujeres_18+
14,1,90202,135023,256656,124589,132067
14,10,194006,100597,305824,146218,159606
14,11,156351,87739,255041,120785,134256
14,12,190887,257797,468388,228625,239763
14,13,170682,115240,298801,144539,154262
14,14,163384,84568,259571,122863,136708
14,15,103754,142566,279628,134668,144960
14,16,136717,129763,284789,138672,146117
14,17,105011,123916,251251,122266,128985
14,18,106944,118065,253917,124310,129607
14,19,123182,120939,275051,132981,142070
14,2,87008,128751,245877,117406,128471
14,20,134238,181539,342593,174034,168559
14,3,109580,141851,289354,138124,151230
14,4,145837,106043,265569,127368,138201
14,5,133341,116650,268860,134182,134678
14,6,192450,157677,363490,175534,187956
14,7,131845,121765,268291,130477,137814
14,8,207171,63691,277302,129598,147704
14,9,145847,96965,255702,122364,133338
