AÑO,REGIÓN,POB_TOT,HOMBRES_18+,MUJERES_18+,PORCENTAJE_HOMBRES,PORCENTAJE_MUJERES,TASA_CRECIMIENTO,DENSIDAD_RELATIVA,INDICE_FEMINIDAD,Tipo
2015,GDL,1059164,500794,558370,47.3,52.7,,20.2,111.5,Histórico
2016,GDL,1056854,499757,557097,,,,,,Histórico
2017,GDL,1054545,498720,555824,,,,,,Histórico
2018,GDL,1052235,497684,554552,,,,,,Histórico
2019,GDL,1049926,496647,553279,,,,,,Histórico
2020,GDL,1047616,495610,552006,47.3,52.7,-1.1,18.2,111.4,Histórico
2021,GDL,1112956,528691,584264,,,,,,Histórico
2022,GDL,1178295,561772,616523,,,,,,Histórico
2023,GDL,1243635,594854,648781,,,,,,Histórico
2024,GDL,1308974,627935,681040,,,,,,Histórico
2025,GDL,1374314,661016,713298,48.1,51.9,31.2,20.5,107.9,Histórico
2015,Jalisco,5232589,2515737,2716852,48.1,51.9,,100.0,108.0,Histórico
2016,Jalisco,5339262,2570510,2768752,,,,,,Histórico
2017,Jalisco,5445935,2625283,2820652,,,,,,Histórico
2018,Jalisco,5552609,2680057,2872552,,,,,,Histórico
2019,Jalisco,5659282,2734830,2924452,,,,,,Histórico
2020,Jalisco,5765955,2789603,2976352,48.4,51.6,10.2,100.0,106.7,Histórico
2021,Jalisco,5956526,2884333,3072194,,,,,,Histórico
2022,Jalisco,6147097,2979062,3168035,,,,,,Histórico
2023,Jalisco,6337669,3073792,3263877,,,,,,Histórico
2024,Jalisco,6528240,3168521,3359718,,,,,,Histórico
2025,Jalisco,6718811,3263251,3455560,48.6,51.4,16.5,100.0,105.9,Histórico
2015,ZMG,2449197,1174005,1275192,47.9,52.1,,46.8,108.6,Histórico
2016,ZMG,2488860,1193722,1295138,,,,,,Histórico
2017,ZMG,2528523,1213439,1315084,,,,,,Histórico
2018,ZMG,2568187,1233157,1335030,,,,,,Histórico
2019,ZMG,2607850,1252874,1354976,,,,,,Histórico
2020,ZMG,2647513,1272591,1374922,48.1,51.9,8.1,45.9,108.0,Histórico
2021,ZMG,2707259,1302824,1404436,,,,,,Histórico
2022,ZMG,2767006,1333057,1433949,,,,,,Histórico
2023,ZMG,2826752,1363289,1463463,,,,,,Histórico
2024,ZMG,2886499,1393522,1492976,,,,,,Histórico
2025,ZMG,2946245,1423755,1522490,48.3,51.7,11.3,43.9,106.9,Histórico
2026,GDL,1328955,638268,690687,,,,,,Proyección
2027,GDL,1360470,654290,706180,,,,,,Proyección
2028,GDL,1391985,670312,721673,,,,,,Proyección
2029,GDL,1423500,686335,737166,,,,,,Proyección
2030,GDL,1455015,702357,752659,,,,,,Proyección
2031,GDL,1486530,718379,768151,,,,,,Proyección
2032,GDL,1518045,734401,783644,,,,,,Proyección
2033,GDL,1549560,750423,799137,,,,,,Proyección
2034,GDL,1581075,766446,814630,,,,,,Proyección
2035,GDL,1612590,782468,830123,,,,,,Proyección
2026,Jalisco,6772095,3292597,3479497,,,,,,Proyección
2027,Jalisco,6920717,3367349,3553368,,,,,,Proyección
2028,Jalisco,7069339,3442100,3627239,,,,,,Proyección
2029,Jalisco,7217961,3516852,3701109,,,,,,Proyección
2030,Jalisco,7366584,3591603,3774980,,,,,,Proyección
2031,Jalisco,7515206,3666354,3848851,,,,,,Proyección
2032,Jalisco,7663828,3741106,3922722,,,,,,Proyección
2033,Jalisco,7812450,3815857,3996593,,,,,,Proyección
2034,Jalisco,7961072,3890609,4070463,,,,,,Proyección
2035,Jalisco,8109695,3965360,4144334,,,,,,Proyección
2026,ZMG,2973128,1436780,1536347,,,,,,Proyección
2027,ZMG,3022833,1461755,1561077,,,,,,Proyección
2028,ZMG,3072538,1486730,1585807,,,,,,Proyección
2029,ZMG,3122243,1511705,1610537,,,,,,Proyección
2030,ZMG,3171947,1536680,1635267,,,,,,Proyección
2031,ZMG,3221652,1561655,1659996,,,,,,Proyección
2032,ZMG,3271357,1586630,1684726,,,,,,Proyección
2033,ZMG,3321062,1611605,1709456,,,,,,Proyección
2034,ZMG,3370767,1636580,1734186,,,,,,Proyección
2035,ZMG,3420471,1661555,1758916,,,,,,Proyección
