,count,mean,std,min,25%,50%,75%,max
entidad,20.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0
distrito_cod,20.0,10.5,5.916079783099616,1.0,5.75,10.5,15.25,20.0
porc_0a9,20.0,18.181940703499997,2.7115606602137663,11.34571327,17.190662324999998,18.578648565,19.7659135,22.93034582
porc_10a19,20.0,18.539667641,1.5905040215616335,13.96712914,17.9306276275,18.800388975,19.7854389975,20.30851696
porc_20a29,20.0,17.071985281000003,1.223875809954951,15.32090821,16.195877915,16.93242884,18.0682833025,19.95114914
porc_30a39,20.0,14.5303813325,1.248952987735876,13.10176339,13.692117034999999,14.112342654999999,15.070648332500001,18.33524272
porc_40a49,20.0,12.256338422,0.7449007033686433,10.81259622,11.675205045,12.364681675,13.0128457425,13.27129136
porc_50a59,20.0,8.83106879285,1.2460015117632903,6.03288279,8.2215186645,8.725594566,9.26854478225,11.32949128
porc_60ymas,20.0,10.55052817525,2.931728347875302,4.787074189,8.7976361905,10.80812803,12.5677739225,17.32963358
porc_edadne,20.0,0.03808965140000001,0.018538112649167788,0.006238659,0.02480448725,0.0378403,0.04640721525,0.083671291
pob_total,20.0,261629.45,24438.22690715899,222340.0,248281.25,258167.5,273733.5,333352.0
porc_18ymas,20.0,66.943991379,4.156501697789951,60.71531999,64.109368475,66.50541552,68.3522860525,78.12422625
hombres_18+,20.0,125786.85,11796.865923112578,107439.0,120366.0,123098.0,129661.0,161335.0
mujeres_18+,20.0,135842.6,12976.647374986223,114901.0,127138.75,134500.5,145295.75,172017.0
